series_id,commodity,variable,importance,type,split
Onions_Bhagalpur,Onions,rain_deficit,0.12721623480319977,encoder,train
Onions_Bhagalpur,Onions,rain_excess,0.14269231259822845,encoder,train
Onions_Bhagalpur,Onions,heat_stress,0.010595802217721939,encoder,train
Onions_Bhagalpur,Onions,cold_stress,0.036235030740499496,encoder,train
Onions_Bhopal,Onions,season,0.0621253103017807,encoder,train
Onions_Bhopal,Onions,time_idx,0.017328111454844475,encoder,train
Onions_Bhopal,Onions,year,0.07904323190450668,encoder,train
Onions_Bhopal,Onions,month,0.0144420200958848,encoder,train
Onions_Bhopal,Onions,month_sin,0.0471886582672596,encoder,train
Onions_Bhopal,Onions,month_cos,0.016206463798880577,encoder,train
Onions_Bhopal,Onions,covid_lockdown,0.05608006939291954,encoder,train
Onions_Bhopal,Onions,relative_time_idx,0.022708812728524208,encoder,train
Onions_Bhopal,Onions,log_price,0.06254947930574417,encoder,train
Onions_Bhopal,Onions,temperature_mean,0.09612498432397842,encoder,train
Onions_Bhopal,Onions,rainfall_monthly,0.007760333362966776,encoder,train
Onions_Bhopal,Onions,humidity_mean,0.05466681346297264,encoder,train
Onions_Bhopal,Onions,price_lag_1m,0.027385294437408447,encoder,train
Onions_Bhopal,Onions,price_lag_12m,0.028449445962905884,encoder,train
Onions_Bhopal,Onions,rolling_3m,0.011840186081826687,encoder,train
Onions_Bhopal,Onions,rolling_6m,0.0814967229962349,encoder,train
Onions_Bhopal,Onions,yoy_change,0.029783645644783974,encoder,train
Onions_Bhopal,Onions,rain_deficit,0.05775703117251396,encoder,train
Onions_Bhopal,Onions,rain_excess,0.17301641404628754,encoder,train
Onions_Bhopal,Onions,heat_stress,0.008750378154218197,encoder,train
Onions_Bhopal,Onions,cold_stress,0.04529653862118721,encoder,train
Onions_Bhubaneshwar,Onions,season,0.0604654885828495,encoder,train
Onions_Bhubaneshwar,Onions,time_idx,0.006985802669078112,encoder,train
Onions_Bhubaneshwar,Onions,year,0.05525495111942291,encoder,train
Onions_Bhubaneshwar,Onions,month,0.009193279780447483,encoder,train
Onions_Bhubaneshwar,Onions,month_sin,0.02766084484755993,encoder,train
Onions_Bhubaneshwar,Onions,month_cos,0.03219163045287132,encoder,train
Onions_Bhubaneshwar,Onions,covid_lockdown,0.04890987649559975,encoder,train
